date,precipitation_sum,rain_sum,precipitation_hours,temperature_2m_mean,temperature_2m_max,temperature_2m_min,vapour_pressure_deficit_max,cloudcover_mean,shortwave_radiation_sum,sunshine_duration,wind_speed_10m_max,wind_direction_10m_dominant,pressure_msl_mean,soil_moisture_0_to_7cm_mean,soil_moisture_7_to_28cm_mean,weathercode
2000-01-01,0.0,0.0,0.0,17.6,20.4,15.6,1.14,98,18.88,31697.31,20.3,187,1013.6,0.147,0.117,3
2000-01-02,2.8,2.8,16.0,17.7,19.7,15.8,0.52,77,16.49,39756.94,15.5,155,1018.0,0.184,0.117,51
2000-01-03,0.1,0.1,1.0,20.0,24.2,15.2,1.41,37,27.48,50400.0,18.7,50,1016.6,0.176,0.119,51
2000-01-04,2.2,2.2,2.0,23.1,28.3,18.6,1.95,51,24.26,47546.3,21.3,323,1008.9,0.158,0.118,61
2000-01-05,0.0,0.0,0.0,19.4,23.1,16.5,1.66,34,27.91,50400.0,15.6,191,1010.7,0.141,0.116,3
2000-01-06,0.0,0.0,0.0,18.4,21.6,15.8,1.43,36,29.21,50400.0,19.6,184,1013.5,0.117,0.114,3
2000-01-07,0.0,0.0,0.0,18.0,20.2,16.0,0.95,58,19.3,42483.88,26.3,190,1016.1,0.103,0.112,3
2000-01-08,0.8,0.8,4.0,18.5,20.6,16.5,0.72,69,20.51,47085.52,15.6,163,1018.9,0.114,0.111,51
2000-01-09,1.4,1.4,8.0,19.1,21.6,16.5,1.06,69,22.04,46179.88,13.6,111,1017.6,0.12,0.11,51
2000-01-10,0.3,0.3,3.0,19.5,22.6,16.0,1.23,73,25.25,50400.0,16.2,106,1017.4,0.11,0.108,51
2000-01-11,1.9,1.9,10.0,19.2,21.5,16.9,1.13,87,20.46,50400.0,17.9,136,1019.8,0.107,0.106,51
2000-01-12,3.2,3.2,9.0,19.5,21.8,17.1,1.11,56,23.63,46670.83,20.7,144,1021.5,0.121,0.105,53
2000-01-13,1.9,1.9,10.0,19.5,21.5,17.5,1.0,53,20.77,50095.66,16.9,141,1020.1,0.125,0.104,51
2000-01-14,1.7,1.7,9.0,20.3,23.1,17.5,1.21,59,23.38,38823.83,15.3,129,1018.1,0.125,0.103,51
2000-01-15,0.9,0.9,5.0,20.9,23.7,17.6,0.95,48,25.46,50185.59,14.8,73,1016.3,0.119,0.102,51
2000-01-16,0.0,0.0,0.0,21.8,26.7,16.4,1.7,85,23.35,31820.55,13.3,40,1013.5,0.107,0.1,3
2000-01-17,4.7,4.7,8.0,20.5,21.6,19.1,0.86,95,10.68,13427.66,16.9,134,1016.2,0.157,0.1,63
2000-01-18,0.0,0.0,0.0,20.5,23.6,18.0,1.31,62,25.45,44386.7,19.4,67,1016.0,0.162,0.102,3
2000-01-19,1.4,1.4,1.0,24.3,33.0,19.1,2.99,53,27.9,49961.62,26.1,229,1004.4,0.135,0.1,61
2000-01-20,0.0,0.0,0.0,24.8,31.5,17.9,2.79,1,31.62,49905.66,15.1,281,1002.0,0.111,0.098,0
2000-01-21,0.0,0.0,0.0,23.8,28.8,19.1,2.56,1,32.48,49848.89,13.4,212,1002.6,0.09,0.096,0
2000-01-22,0.0,0.0,0.0,20.0,23.3,17.9,1.72,50,28.2,46589.1,22.9,151,1006.3,0.087,0.094,3
2000-01-23,0.4,0.4,2.0,17.5,19.2,15.1,1.22,32,29.75,49733.27,22.2,168,1011.9,0.093,0.093,51
2000-01-24,0.3,0.3,3.0,17.9,20.0,16.0,1.23,94,15.53,28943.51,15.5,156,1019.9,0.088,0.091,51
2000-01-25,0.1,0.1,1.0,19.3,22.1,16.6,1.23,96,13.27,14953.86,13.0,55,1017.8,0.086,0.091,51
2000-01-26,17.4,17.4,14.0,20.4,23.2,18.6,0.79,95,8.25,18256.21,11.9,13,1010.4,0.13,0.09,63
2000-01-27,20.8,20.8,18.0,21.3,23.5,19.8,0.72,94,13.42,20707.32,21.6,161,1003.4,0.274,0.165,63
